"Provider","Category","Sku","Tier","Region","RegionDisplay","Available"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"francecentral","France Central","no"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"francesouth","France South","no"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"germanynorth","Germany North","yes"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"germanywestcentral","Germany West Central","yes"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"italynorth","Italy North","yes"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"northeurope","North Europe","yes"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"norwayeast","Norway East","no"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"norwaywest","Norway West","no"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"polandcentral","Poland Central","no"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"spaincentral","Spain Central","no"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"swedencentral","Sweden Central","no"
"Microsoft.Compute","Compute","DCdsv3-Type1",,"switzerlandnorth","Switzerland North","yes"
