"Namespace","Registration","ResourceTypes","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Microsoft.DataLakeAnalytics","Registered","13","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.DataLakeStore","Registered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DataMigration","Registered","13","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.DataProtection","Registered","15","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","no","yes"
"Microsoft.DataReplication","NotRegistered","6","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.DataShare","NotRegistered","18","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.DBforMariaDB","Registered","30","False","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.DBforMySQL","Registered","42","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.DBforPostgreSQL","Registered","43","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.DependencyMap","NotRegistered","5","False","yes","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.DesktopVirtualization","Registered","16","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.DevCenter","NotRegistered","38","False","no","no","no","yes","no","no","yes","yes","yes","no","no","yes","yes","yes","yes","no","yes"
"Microsoft.DevelopmentWindows365","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DevHub","NotRegistered","9","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.DeviceOnboarding","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DeviceRegistry","NotRegistered","19","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.Devices","Registered","14","False","no","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","no","yes","yes","yes"
"Microsoft.DeviceUpdate","NotRegistered","10","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes"
"Microsoft.DevOpsInfrastructure","NotRegistered","13","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.DevTestLab","Registered","8","False","no","no","no","yes","yes","no","yes","no","yes","yes","no","no","no","yes","yes","yes","yes"
"Microsoft.Diagnostics","Registered","8","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DigitalTwins","NotRegistered","9","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.DirectoryStore","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Discovery","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no"
"Microsoft.DocumentDB","Registered","23","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.DomainRegistration","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DurableTask","NotRegistered","9","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","no"
"Microsoft.Easm","NotRegistered","4","False","no","no","no","yes","no","no","no","no","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.Edge","NotRegistered","49","False","no","no","no","yes","no","no","yes","no","yes","yes","no","yes","no","yes","yes","no","yes"
"Microsoft.EdgeMarketplace","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.EdgeOrder","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.EdgeOrderPartner","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.EdgeZones","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Elastic","NotRegistered","11","False","no","no","no","yes","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes"
"Microsoft.ElasticSan","NotRegistered","5","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.EnterpriseSupport","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntitlementManagement","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIDGovernance","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIdGovernanceAccelerator","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EventGrid","Registered","27","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.EventHub","Registered","26","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Experimentation","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ExtendedLocation","NotRegistered","8","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","no","yes","yes","no","yes"
"Microsoft.Fabric","NotRegistered","10","False","yes","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft.Falcon","NotRegistered","6","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no"
"Microsoft.Features","Registered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.FileShares","NotRegistered","11","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","yes"
"Microsoft.FluidRelay","NotRegistered","7","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","yes","no","yes","yes","no","yes"
"Microsoft.GCPConnector","NotRegistered","10","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.Genome","NotRegistered","4","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no"
"Microsoft.GraphServices","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.GuestConfiguration","Registered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HanaOnAzure","NotRegistered","5","False","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Hardware","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.HardwareSecurityModules","NotRegistered","4","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes"
"Microsoft.HDInsight","Registered","13","False","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
"Microsoft.HealthBot","NotRegistered","4","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Microsoft.HealthcareApis","Registered","18","False","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","yes","yes","no","yes"
"Microsoft.HealthcareInterop","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthDataAIServices","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft.HealthModel","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthPlatform","NotRegistered","1","False","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no"
