"Namespace","Registration","ResourceTypes","Global","Australia Central","Australia Central 2","Australia East","Australia Southeast","Central India","East Asia","East Asia (Stage)","Indonesia Central","Japan East","Japan West","Jio India Central","Jio India West","Korea Central","Korea South","Malaysia West","New Zealand North","South India","Southeast Asia","Southeast Asia (Stage)","West India"
"Microsoft.DataShare","NotRegistered","18","False","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.DBforMariaDB","Registered","30","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.DBforMySQL","Registered","42","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.DBforPostgreSQL","Registered","43","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.DependencyMap","NotRegistered","5","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.DesktopVirtualization","Registered","16","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DevCenter","NotRegistered","38","False","no","no","yes","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DevelopmentWindows365","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DevHub","NotRegistered","9","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes","yes","yes","no","no"
"Microsoft.DeviceOnboarding","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DeviceRegistry","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Devices","Registered","14","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.DeviceUpdate","NotRegistered","10","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.DevOpsInfrastructure","NotRegistered","13","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DevTestLab","Registered","8","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.Diagnostics","Registered","8","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.DigitalTwins","NotRegistered","9","False","no","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.DirectoryStore","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Discovery","NotRegistered","4","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DocumentDB","Registered","23","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.DomainRegistration","NotRegistered","8","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.DurableTask","NotRegistered","9","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.Easm","NotRegistered","4","False","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Edge","NotRegistered","49","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.EdgeMarketplace","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EdgeOrder","NotRegistered","19","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.EdgeOrderPartner","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.EdgeZones","NotRegistered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.Elastic","NotRegistered","11","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.ElasticSan","NotRegistered","5","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.EnterpriseSupport","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntitlementManagement","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIDGovernance","NotRegistered","3","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EntraIdGovernanceAccelerator","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.EventGrid","Registered","27","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.EventHub","Registered","26","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Experimentation","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.ExtendedLocation","NotRegistered","8","False","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","no"
"Microsoft.Fabric","NotRegistered","10","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Falcon","NotRegistered","6","False","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no"
"Microsoft.Features","Registered","7","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.FileShares","NotRegistered","11","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Microsoft.FluidRelay","NotRegistered","7","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.GCPConnector","NotRegistered","10","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Genome","NotRegistered","4","False","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no"
"Microsoft.GraphServices","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.GuestConfiguration","Registered","2","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HanaOnAzure","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Hardware","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.HardwareSecurityModules","NotRegistered","4","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no"
"Microsoft.HDInsight","Registered","13","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Microsoft.HealthBot","NotRegistered","4","False","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.HealthcareApis","Registered","18","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Microsoft.HealthcareInterop","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthDataAIServices","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.HealthModel","NotRegistered","1","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HealthPlatform","NotRegistered","1","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Help","NotRegistered","13","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Microsoft.HorizonDB","NotRegistered","8","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.HybridCloud","NotRegistered","2","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.HybridCompute","NotRegistered","34","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","no"
"Microsoft.HybridConnectivity","NotRegistered","9","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","no"
"Microsoft.HybridContainerService","NotRegistered","11","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.HybridNetwork","NotRegistered","26","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.Impact","NotRegistered","5","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.InferenceService","NotRegistered","2","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"microsoft.insights","Registered","86","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.IntegrationSpaces","NotRegistered","9","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","no","no","yes"
"Microsoft.IoTCentral","NotRegistered","7","False","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.IoTFirmwareDefense","NotRegistered","14","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.IoTOperations","NotRegistered","16","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Microsoft.IoTOperationsDataProcessor","NotRegistered","6","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.IoTSecurity","NotRegistered","21","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.KeyVault","Registered","21","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.Kubernetes","NotRegistered","5","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","no","yes","yes","no","no"
"Microsoft.KubernetesConfiguration","NotRegistered","11","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.KubernetesRuntime","NotRegistered","8","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Microsoft.Kusto","Registered","15","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Microsoft.LabServices","NotRegistered","9","False","yes","yes","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","no","no","yes","yes","no","yes"
"Microsoft.LoadTestService","NotRegistered","14","False","yes","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes","yes","yes","no","yes","yes","no","yes"
"Microsoft.Logic","Registered","14","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
