"ServiceName","Category","Namespace","Registration","Global","Australia Central","Australia Central 2","Australia East","Australia Southeast","Central India","East Asia","East Asia (Stage)","Indonesia Central","Japan East","Japan West","Jio India Central","Jio India West","Korea Central","Korea South","Malaysia West","New Zealand North","South India","Southeast Asia","Southeast Asia (Stage)","West India"
"Azure Migrate","Migration","Microsoft.Migrate","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Azure Migrate - Off-Azure discovery","Migration","Microsoft.OffAzure","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Migrate Spring Boot to Azure","Migration","Microsoft.OffAzureSpringBoot","NotRegistered","False","no","no","yes","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no"
"Azure Diagnostics","Monitor","Microsoft.Diagnostics","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Managed Grafana","Monitor","Microsoft.Dashboard","NotRegistered","False","yes","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","yes","no","yes","yes","no","no"
"Azure Monitor / Application Insights","Monitor","microsoft.insights","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Monitor Alerts","Monitor","Microsoft.AlertsManagement","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Azure Monitor SCOM Managed Instance","Monitor","Microsoft.Scom","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no"
"Azure Monitor Workspace (Prometheus)","Monitor","Microsoft.Monitor","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Datadog on Azure","Monitor","Microsoft.Datadog","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Elastic on Azure","Monitor","Microsoft.Elastic","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no"
"Health Model","Monitor","Microsoft.HealthModel","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Log Analytics","Monitor","Microsoft.OperationalInsights","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Operations Management Suite","Monitor","Microsoft.OperationsManagement","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Service Map / Dependency","Monitor","Microsoft.DependencyMap","NotRegistered","False","no","no","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","no"
"Dynatrace on Azure","Monitor (3rd party)","Dynatrace.Observability","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"New Relic on Azure","Monitor (3rd party)","NewRelic.Observability","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure CDN / Front Door","Networking","Microsoft.Cdn","Registered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","yes"
"Azure Edge Zones","Networking","Microsoft.EdgeZones","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Managed Network Fabric","Networking","Microsoft.ManagedNetworkFabric","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Network Function Manager","Networking","Microsoft.NetworkFunction","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","no","yes","yes","no","no","yes","yes","no","no"
"Azure Networking (VNet/LB/Firewall/etc)","Networking","Microsoft.Network","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Operator Nexus","Networking","Microsoft.HybridNetwork","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Operator Nexus - Network Cloud","Networking","Microsoft.NetworkCloud","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Orbital Ground Station","Networking","Microsoft.Orbital","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Peering Service","Networking","Microsoft.Peering","NotRegistered","False","yes","no","yes","yes","no","yes","no","no","yes","yes","no","no","yes","no","no","no","yes","yes","no","yes"
"Azure Service Networking (App Gw for Containers)","Networking","Microsoft.ServiceNetworking","NotRegistered","False","no","no","yes","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","no"
"Connected Cache","Networking","Microsoft.ConnectedCache","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Operator Nexus Identity","Networking","Microsoft.NexusIdentity","NotRegistered","False","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Operator Voicemail","Networking","Microsoft.OperatorVoicemail","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"NGINX Plus on Azure","Networking (3rd party)","NGINX.NGINXPLUS","NotRegistered","False","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","yes","no","yes"
"App Compliance Automation","Security","Microsoft.AppComplianceAutomation","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Attestation","Security","Microsoft.Attestation","NotRegistered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Cloud PKI","Security","Microsoft.Pki","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Confidential Clean Room","Security","Microsoft.CleanRoom","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Confidential Ledger","Security","Microsoft.ConfidentialLedger","NotRegistered","False","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no"
"Azure Dedicated HSM / Managed HSM","Security","Microsoft.HardwareSecurityModules","NotRegistered","False","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","no","no","no","no","yes","yes","no","no"
"Azure Key Vault","Security","Microsoft.KeyVault","Registered","False","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","no","no","yes","yes","yes","yes","yes","yes","no","yes"
"Azure Scan (Defender)","Security","Microsoft.AzureScan","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Customer Lockbox","Security","Microsoft.CustomerLockbox","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Defender External Attack Surface Management","Security","Microsoft.Easm","NotRegistered","False","no","no","yes","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no"
